N°,NOMBRE,PRECIO,PEDIDO,STOCK_ACTUAL
136,360 ENERGIZANTE,2.5,0,16
137,PIQUEO,2.5,0,27
138,TRIDENT,1.5,0,53
139,HALLS,1.5,0,41
140,CERVEZA PILSEN 620ML CA,7,0,65
141,CERVEZA AREQUIPEÑA 620ML CAJ,7,0,128
142,CERVEZA CUZQUEÑA TRIGO620ML CAJ,8,0,36
143,CERVEZA PILSEN 1L,15,0,14
144,HIELO,5,0,13
145,CIGARROS LUCKY 10 UNI (CAJAS),14,0,13
146,CIGARROS LUCKY 20 UNI (UNIDAD),26,0,276
147,MARLBORO CANELA,26,0,69
148,CIGARROS PALL MAL (UNIDAD),17,0,422
149,CIGARROS ESSE (UNIDAD),15,0,88
150,CIGARROS GOLDEN CAJAS (- 2uni),4,0,27
151,ENCENDEDOR,1,0,59
152,BOLSA DE REGALO,3,0,2
153,CIGARROS LUCKY 1 UNI (UNIDAD),1.5,0,0
